df18.c output data

Number of items: 
1

Positions of shelves:
1: (12, 25), (17, 46)
2: (8, 2), (17, 12)
3: (9, 22), (9, 22)
4: (4, 28), (5, 44)
5: (4, 12), (6, 24)

Shopping list:
W, 

Route: 
(19, 17)
(19, 16)
(18, 16)
(17, 16)
(17, 15)
(16, 15)
(16, 16)
(17, 16)
(18, 16)
(19, 16)
(19, 17)
(19, 16)
(18, 16)
(17, 16)
(17, 17)
(17, 18)
(16, 18)
(16, 19)
(16, 20)
(16, 21)
(15, 21)
(14, 21)
(13, 21)
(13, 20)
(14, 20)
(14, 19)
(13, 19)
(12, 19)
(12, 20)
(11, 20)
(11, 19)
(11, 20)
(10, 20)
(9, 20)
(9, 21)
(9, 20)
(8, 20)
(9, 20)
(9, 21)
(10, 21)
(10, 22)
(11, 22)
(12, 22)
(12, 23)
(12, 22)
(12, 21)
(13, 21)
(13, 20)
(12, 20)
(11, 20)
(11, 21)
(11, 22)
(10, 22)
(10, 23)
(9, 23)
(10, 23)
(9, 23)
(9, 24)
(10, 24)
(11, 24)
(11, 25)
(11, 26)
(11, 25)
(11, 26)
(11, 27)
(10, 27)
(9, 27)
(10, 27)
(10, 26)
(10, 27)
(9, 27)
(8, 27)
(7, 27)
(8, 27)
(8, 28)
(8, 27)
(8, 28)
(7, 28)
(8, 28)
(9, 28)
(8, 28)
(8, 27)
(8, 26)
(7, 26)
(6, 26)
(6, 25)
(7, 25)
(7, 26)
(6, 26)
(5, 26)
(5, 25)
(6, 25)
(6, 26)
(7, 26)
(7, 25)
(7, 24)
(8, 24)
(7, 24)
(7, 25)
(7, 26)
(7, 27)
(7, 28)
(7, 29)
(7, 30)
(6, 30)
(6, 29)
(6, 30)
(6, 29)
(6, 28)
(6, 27)
(6, 26)
(7, 26)
(8, 26)
(8, 25)
(8, 24)
(9, 24)
(9, 25)
(8, 25)
(9, 25)
(9, 26)
(9, 25)
(8, 25)
(9, 25)
(9, 26)
(8, 26)
(8, 27)
(8, 26)
(7, 26)
(8, 26)
(8, 27)
(8, 28)
(7, 28)
(8, 28)
(8, 27)
(7, 27)
(7, 28)
(7, 27)
(7, 28)
(6, 28)
(7, 28)
(7, 29)
(7, 28)
(7, 29)
(7, 28)
(8, 28)
(7, 28)
(7, 29)
(7, 28)
(6, 28)
(6, 27)
(5, 27)
(5, 26)
(4, 26)
(3, 26)
(2, 26)
(2, 25)
(1, 25)
(1, 24)
(0, 24)
(1, 24)
(1, 23)
(1, 22)
(1, 23)
(1, 22)
(0, 22)
(0, 23)
(0, 22)
(0, 23)
(0, 24)
(0, 23)
(1, 23)
(2, 23)
(1, 23)
(2, 23)
(2, 22)
(2, 21)
(2, 20)
(3, 20)
(3, 19)
(3, 18)
(2, 18)
(2, 19)
(2, 18)
(3, 18)
